Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001399589,PHILADELPHIA,004,WCAU,010,NBC,20200302,18:52:14,20200302,18:52:43,0000000010,0000000039,0000000045,NBC NIGHTLY NEWS WITH LESTER HOLT,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WCAU,010,NBC,20200304,15:46:31,20200304,15:47:00,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WCAU,010,NBC,20200305,19:55:05,20200305,19:55:34,0000000010,0000000039,0000000045,ACCESS HOLLYWOOD,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001399589,PHILADELPHIA,004,WTXF,029,FOX,20200302,10:44:27,20200302,10:44:56,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WTXF,029,FOX,20200303,10:58:50,20200303,10:59:19,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WTXF,029,FOX,20200303,16:42:01,20200303,16:42:30,0000000010,0000000039,0000000045,JUDGE JUDY,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WTXF,029,FOX,20200304,10:53:41,20200304,10:54:10,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WTXF,029,FOX,20200305,16:49:54,20200305,16:50:23,0000000010,0000000039,0000000045,JUDGE JUDY,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200302,18:59:09,20200302,18:59:38,0000000010,0000000039,0000000045,THE GOLDBERGS,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411266,WILKES BARRE,060,WOLF,056,FOX,20200303,14:18:15,20200303,14:19:14,0000000010,0000000069,0000000075,DR. PHIL,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200303,14:54:54,20200303,14:55:16,0000000010,0000000033,0000000045,DR. PHIL,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200303,19:14:19,20200303,19:14:48,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200304,19:59:25,20200304,19:59:54,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200305,14:31:01,20200305,14:31:30,0000000010,0000000039,0000000045,DR. PHIL,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200305,14:45:52,20200305,14:46:21,0000000010,0000000039,0000000045,DR. PHIL,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200305,19:44:27,20200305,19:44:56,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200305,20:48:12,20200305,20:48:41,0000000010,0000000039,0000000045,OUTMATCHED,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200305,21:20:11,20200305,21:20:40,0000000010,0000000039,0000000045,DEPUTY,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001402031,WILKES BARRE,060,WSWB,038,CW,20200302,11:28:46,20200302,11:29:15,0000000010,0000000039,0000000045,THE PEOPLE'S COURT,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411266,WILKES BARRE,060,WSWB,038,CW,20200302,11:50:46,20200302,11:51:45,0000000010,0000000069,0000000075,THE PEOPLE'S COURT,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001411267,WILKES BARRE,060,WSWB,038,CW,20200302,14:45:08,20200302,14:45:37,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001411266,WILKES BARRE,060,WSWB,038,CW,20200302,14:58:37,20200302,14:59:36,0000000010,0000000069,0000000075,THE WENDY WILLIAMS SHOW,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001402031,WILKES BARRE,060,WSWB,038,CW,20200303,19:28:28,20200303,19:28:58,0000000010,0000000040,0000000045,FAMILY FEUD,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WSWB,038,CW,20200303,19:50:30,20200303,19:50:59,0000000010,0000000039,0000000045,FAMILY FEUD,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WSWB,038,CW,20200304,11:29:17,20200304,11:29:46,0000000010,0000000039,0000000045,THE PEOPLE'S COURT,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WSWB,038,CW,20200304,11:55:06,20200304,11:55:35,0000000010,0000000039,0000000045,THE PEOPLE'S COURT,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WSWB,038,CW,20200304,14:47:08,20200304,14:47:37,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411266,WILKES BARRE,060,WSWB,038,CW,20200304,14:58:32,20200304,14:59:30,0000000011,0000000069,0000000075,THE WENDY WILLIAMS SHOW,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001411267,WILKES BARRE,060,WSWB,038,CW,20200304,19:15:26,20200304,19:15:55,0000000010,0000000039,0000000045,FAMILY FEUD,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
