Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,15:31:58,20200306,15:32:24,0000000010,0000000036,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,16:07:14,20200306,16:07:38,0000000015,0000000039,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,16:31:47,20200306,16:32:15,0000000011,0000000039,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,17:03:54,20200306,17:04:14,0000000015,0000000034,0000000045,HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,17:18:33,20200306,17:19:02,0000000010,0000000039,0000000045,HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,17:21:42,20200306,17:22:11,0000000010,0000000039,0000000045,HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,18:05:49,20200306,18:06:17,0000000011,0000000039,0000000045,HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,18:30:24,20200306,18:30:49,0000000011,0000000036,0000000045,HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,18:53:50,20200306,18:54:19,0000000010,0000000038,0000000045,HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,19:09:50,20200306,19:10:18,0000000011,0000000039,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,19:13:10,20200306,19:13:38,0000000011,0000000039,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,19:53:39,20200306,19:54:06,0000000010,0000000037,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,20:17:53,20200306,20:18:21,0000000011,0000000039,0000000045,GIRLS HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
0001411274,GREENVILLE SC,038,WMYA,040,MNTV,20200306,20:49:19,20200306,20:49:47,0000000011,0000000039,0000000045,HIGH SCHOOL BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411280,GREENVILLE SC,038,WMYA,040,MNTV,20200306,21:06:14,20200306,21:06:42,0000000011,0000000039,0000000045,HIGH SCHOOL BASKETBALL,MTFL937430H,12/15/19,MMTC,Mosaic,30,8437935121,30
