Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001411275,CHATTANOOGA,092,WTVC,009,ABC,20200224,10:51:21,20200224,10:52:20,0000000010,0000000069,0000000075,TAMRON HALL,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001403214,CHATTANOOGA,092,WTVC,009,ABC,20200224,20:44:48,20200224,20:45:17,0000000010,0000000039,0000000045,THE BACHELOR,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411275,CHATTANOOGA,092,WTVC,009,ABC,20200225,09:55:08,20200225,09:56:07,0000000010,0000000069,0000000075,LIVE WITH KELLY AND RYAN,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001411276,CHATTANOOGA,092,WTVC,009,ABC,20200226,10:11:21,20200226,10:11:50,0000000010,0000000039,0000000045,TAMRON HALL,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WTVC,009,ABC,20200226,10:27:51,20200226,10:28:20,0000000010,0000000039,0000000045,TAMRON HALL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411276,CHATTANOOGA,092,WTVC,009,ABC,20200227,09:35:43,20200227,09:36:12,0000000010,0000000039,0000000045,LIVE WITH KELLY AND RYAN,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WTVC,009,ABC,20200227,09:54:15,20200227,09:54:44,0000000010,0000000039,0000000045,LIVE WITH KELLY AND RYAN,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200224,10:08:08,20200224,10:12:37,0000000001,0000000270,0000000275,LET'S CHATT,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001411275,CHATTANOOGA,092,WDEF,012,CBS,20200224,13:07:50,20200224,13:08:49,0000000010,0000000069,0000000075,THE YOUNG AND THE RESTLESS,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001403214,CHATTANOOGA,092,WDEF,012,CBS,20200224,13:59:17,20200224,13:59:46,0000000010,0000000039,0000000045,THE BOLD AND THE BEAUTIFUL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200225,05:27:06,20200225,05:31:35,0000000001,0000000270,0000000275,NEWS 12 THIS MORNING,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200225,06:29:06,20200225,06:33:35,0000000001,0000000270,0000000275,NEWS 12,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001411275,CHATTANOOGA,092,WDEF,012,CBS,20200226,13:58:54,20200226,13:59:51,0000000010,0000000069,0000000075,THE BOLD AND THE BEAUTIFUL,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200228,10:10:05,20200228,10:14:34,0000000001,0000000270,0000000275,LET'S CHATT,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001411276,CHATTANOOGA,092,WDEF,012,CBS,20200228,13:28:52,20200228,13:29:21,0000000010,0000000039,0000000045,THE YOUNG AND THE RESTLESS,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WDEF,012,CBS,20200228,13:59:07,20200228,13:59:36,0000000010,0000000039,0000000045,THE BOLD AND THE BEAUTIFUL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200229,23:30:34,20200229,23:35:03,0000000001,0000000270,0000000275,NEWS 12 NIGHTSIDE,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001426582,CHATTANOOGA,092,WDEF,012,CBS,20200302,05:27:19,20200302,05:31:48,0000000001,0000000270,0000000275,>>>> Show Information Not Available <<<<,MTTN9430,2/110/2020,MMTC,LBS Cosmo Segment,4:30,4234143247,4:30
0001411275,CHATTANOOGA,092,WFLI,053,CW,20200224,08:58:07,20200224,08:59:06,0000000010,0000000069,0000000075,COOKING WITH EMERIL,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200224,09:33:06,20200224,09:33:09,0000000036,0000000039,0000000045,THE REAL,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200225,08:58:06,20200225,08:58:35,0000000010,0000000039,0000000045,COOKING WITH EMERIL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200225,09:31:38,20200225,09:32:03,0000000014,0000000036,0000000045,THE REAL,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200225,09:59:04,20200225,09:59:32,0000000010,0000000039,0000000045,THE REAL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411275,CHATTANOOGA,092,WFLI,053,CW,20200225,10:34:44,20200225,10:35:43,0000000010,0000000069,0000000075,THE WENDY WILLIAMS SHOW,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200225,10:49:00,20200225,10:49:29,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001411275,CHATTANOOGA,092,WFLI,053,CW,20200226,08:58:23,20200226,08:59:22,0000000010,0000000069,0000000075,PAID PROGRAMMING,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200226,09:23:56,20200226,09:24:25,0000000010,0000000039,0000000045,THE REAL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200227,08:58:25,20200227,08:58:54,0000000010,0000000039,0000000045,PAID PROGRAMMING,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200227,09:31:44,20200227,09:32:13,0000000010,0000000039,0000000045,THE REAL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200227,09:48:01,20200227,09:48:30,0000000010,0000000039,0000000045,THE REAL,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200227,10:38:26,20200227,10:38:55,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411275,CHATTANOOGA,092,WFLI,053,CW,20200227,10:58:53,20200227,10:59:52,0000000010,0000000069,0000000075,THE WENDY WILLIAMS SHOW,MTTN937260H,12/15/19,MMTC,Mosaic,60,4235917179,60
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200228,08:58:09,20200228,08:58:38,0000000010,0000000039,0000000045,PAID PROGRAMMING,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403214,CHATTANOOGA,092,WFLI,053,CW,20200228,09:23:33,20200228,09:23:45,0000000027,0000000039,0000000045,THE REAL,MTTN935630H,11/1/19,MMTC,MBC Skills,30,4235917179,30
0001411276,CHATTANOOGA,092,WFLI,053,CW,20200228,09:49:37,20200228,09:50:05,0000000012,0000000039,0000000045,THE REAL,MTTN937230H,12/15/19,MMTC,Mosaic,30,4235917179,30
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200224,09:31:38,20200224,09:32:07,0000000010,0000000039,0000000045,LIVE WITH KELLY AND RYAN,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411273,CHARLESTON SC,091,ECIV,004,ABC,20200224,09:52:50,20200224,09:53:49,0000000010,0000000069,0000000075,LIVE WITH KELLY AND RYAN,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001411273,CHARLESTON SC,091,ECIV,004,ABC,20200224,12:58:58,20200224,12:59:57,0000000010,0000000069,0000000075,RACHAEL RAY,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001411274,CHARLESTON SC,091,ECIV,004,ABC,20200224,19:22:35,20200224,19:23:04,0000000010,0000000039,0000000045,ABC NEWS 4 AT 7:00,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200225,13:37:30,20200225,13:37:59,0000000010,0000000039,0000000045,GMA3: STRAHAN  SARA & KEKE,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411273,CHARLESTON SC,091,ECIV,004,ABC,20200225,16:55:11,20200225,16:56:10,0000000010,0000000069,0000000075,THE ELLEN DEGENERES SHOW,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001411274,CHARLESTON SC,091,ECIV,004,ABC,20200225,20:48:52,20200225,20:49:21,0000000010,0000000039,0000000045,BLESS THIS MESS,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001411273,CHARLESTON SC,091,ECIV,004,ABC,20200226,09:37:31,20200226,09:38:30,0000000010,0000000069,0000000075,LIVE WITH KELLY AND RYAN,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200226,09:55:56,20200226,09:56:25,0000000010,0000000039,0000000045,LIVE WITH KELLY AND RYAN,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411273,CHARLESTON SC,091,ECIV,004,ABC,20200226,13:37:40,20200226,13:38:39,0000000010,0000000069,0000000075,GMA3: STRAHAN  SARA & KEKE,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001411274,CHARLESTON SC,091,ECIV,004,ABC,20200227,13:36:23,20200227,13:36:52,0000000010,0000000039,0000000045,GMA3: STRAHAN  SARA & KEKE,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200227,16:30:17,20200227,16:30:46,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,ECIV,004,ABC,20200227,16:55:00,20200227,16:55:29,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200228,22:34:27,20200228,22:34:56,0000000010,0000000039,0000000045,20/20,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,ECIV,004,ABC,20200229,21:51:34,20200229,21:52:03,0000000010,0000000039,0000000045,NBA BASKETBALL,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,ECIV,004,ABC,20200229,23:16:39,20200229,23:17:08,0000000010,0000000039,0000000045,ABC NEWS 4 AT 11,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200224,07:58:23,20200224,07:58:48,0000000013,0000000039,0000000045,TODAY,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,WCBD,002,NBC,20200224,08:58:03,20200224,08:58:32,0000000010,0000000039,0000000045,TODAY,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200225,11:37:34,20200225,11:38:03,0000000010,0000000039,0000000045,NEWS 2 MIDDAY,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,WCBD,002,NBC,20200225,11:58:39,20200225,11:59:08,0000000010,0000000039,0000000045,NEWS 2 MIDDAY,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200226,08:28:13,20200226,08:28:42,0000000010,0000000039,0000000045,TODAY,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,WCBD,002,NBC,20200227,11:10:02,20200227,11:10:31,0000000010,0000000039,0000000045,NEWS 2 MIDDAY,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200227,11:50:53,20200227,11:51:22,0000000010,0000000039,0000000045,NEWS 2 MIDDAY,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,WCBD,002,NBC,20200301,00:21:49,20200301,00:22:18,0000000010,0000000039,0000000045,SATURDAY NIGHT LIVE,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200301,00:46:49,20200301,00:47:18,0000000010,0000000039,0000000045,SATURDAY NIGHT LIVE,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411274,CHARLESTON SC,091,WCBD,002,NBC,20200301,00:59:04,20200301,00:59:33,0000000010,0000000039,0000000045,SATURDAY NIGHT LIVE,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
0001403213,CHARLESTON SC,091,WCBD,002,NBC,20200301,01:01:40,20200301,01:02:09,0000000010,0000000039,0000000045,SATURDAY NIGHT LIVE,MTCH935530H,11/1/19,MMTC,MBC Skills,30,8437935106,30
0001411273,CHARLESTON SC,091,WTAT,024,FOX,20200224,11:08:08,20200224,11:09:07,0000000010,0000000069,0000000075,DIVORCE COURT,MTCH937160H,12/15/19,MMTC,Mosaic,60,8437935106,60
0001411274,CHARLESTON SC,091,WTAT,024,FOX,20200224,11:29:17,20200224,11:29:46,0000000010,0000000039,0000000045,DIVORCE COURT,MTCH937130H,12/15/19,MMTC,Mosaic,30,8437935106,30
