"Encoding Id","Market","Rank","Station","Channel","Affiliate","Start Date","Start Time","Stop Date","Stop Time","Start Second","Stop Second","Seconds","Program","ISCI-20","Campaign","Advertiser","Product Name","Module Code","Phone Number","Length",
"0001424187","OKLAHOMA CITY","043","KOCO","005","ABC","20200224","15:30:10","20200224","15:30:39","0000000010","0000000039","0000000045","THE KELLY CLARKSON SHOW","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001374653","OKLAHOMA CITY","043","KOCO","005","ABC","20200224","15:53:25","20200224","15:53:54","0000000010","0000000039","0000000045","THE KELLY CLARKSON SHOW","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001413822","OKLAHOMA CITY","043","KOCO","005","ABC","20200224","16:30:36","20200224","16:31:05","0000000010","0000000039","0000000045","THE ELLEN DEGENERES SHOW","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001374653","OKLAHOMA CITY","043","KOCO","005","ABC","20200224","16:54:38","20200224","16:55:07","0000000010","0000000039","0000000045","THE ELLEN DEGENERES SHOW","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001424187","OKLAHOMA CITY","043","KOCO","005","ABC","20200224","18:58:23","20200224","18:58:52","0000000010","0000000039","0000000045","WHEEL OF FORTUNE","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOCO","005","ABC","20200225","16:46:56","20200225","16:47:55","0000000010","0000000069","0000000075","THE ELLEN DEGENERES SHOW","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001411289","OKLAHOMA CITY","043","KOCO","005","ABC","20200226","15:38:58","20200226","15:39:57","0000000010","0000000069","0000000075","THE KELLY CLARKSON SHOW","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001374653","OKLAHOMA CITY","043","KOCO","005","ABC","20200226","16:32:20","20200226","16:32:49","0000000010","0000000039","0000000045","THE ELLEN DEGENERES SHOW","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001413822","OKLAHOMA CITY","043","KOCO","005","ABC","20200226","16:56:43","20200226","16:57:12","0000000010","0000000039","0000000045","THE ELLEN DEGENERES SHOW","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOCO","005","ABC","20200227","16:19:43","20200227","16:20:42","0000000010","0000000069","0000000075","THE ELLEN DEGENERES SHOW","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200224","15:58:31","20200224","15:59:00","0000000010","0000000039","0000000045","JUDGE MATHIS","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001411289","OKLAHOMA CITY","043","KOKH","025","FOX","20200224","16:26:01","20200224","16:27:00","0000000010","0000000069","0000000075","JUDGE JUDY","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200224","18:29:07","20200224","18:29:36","0000000010","0000000039","0000000045","THE BIG BANG THEORY","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001424187","OKLAHOMA CITY","043","KOKH","025","FOX","20200224","18:59:36","20200224","19:00:05","0000000010","0000000039","0000000045","THE BIG BANG THEORY","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOKH","025","FOX","20200225","10:35:27","20200225","10:36:26","0000000010","0000000069","0000000075","THE WENDY WILLIAMS SHOW","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001413822","OKLAHOMA CITY","043","KOKH","025","FOX","20200225","10:56:00","20200225","10:56:29","0000000010","0000000039","0000000045","THE WENDY WILLIAMS SHOW","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200225","18:25:44","20200225","18:26:13","0000000010","0000000039","0000000045","THE BIG BANG THEORY","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200225","20:22:26","20200225","20:22:55","0000000010","0000000039","0000000045","GORDON RAMSAY'S 24 HOURS TO HELL AND","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001424187","OKLAHOMA CITY","043","KOKH","025","FOX","20200225","20:43:57","20200225","20:44:26","0000000010","0000000039","0000000045","GORDON RAMSAY'S 24 HOURS TO HELL AND","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOKH","025","FOX","20200226","15:58:07","20200226","15:59:06","0000000010","0000000069","0000000075","JUDGE MATHIS","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001413822","OKLAHOMA CITY","043","KOKH","025","FOX","20200226","16:21:28","20200226","16:21:57","0000000010","0000000039","0000000045","JUDGE JUDY","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200226","19:21:06","20200226","19:21:35","0000000010","0000000039","0000000045","THE MASKED SINGER","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001374653","OKLAHOMA CITY","043","KOKH","025","FOX","20200227","10:37:53","20200227","10:38:22","0000000010","0000000039","0000000045","THE WENDY WILLIAMS SHOW","PCOK927730H","7/10/19","PC","OKC Skills DA","30","4052170510","30"
"0001411289","OKLAHOMA CITY","043","KOKH","025","FOX","20200227","10:56:26","20200227","10:57:25","0000000010","0000000069","0000000075","THE WENDY WILLIAMS SHOW","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001424187","OKLAHOMA CITY","043","KOKH","025","FOX","20200227","17:58:52","20200227","17:59:21","0000000010","0000000039","0000000045","FOX25 NEWS AT 5:30PM","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001413822","OKLAHOMA CITY","043","KOKH","025","FOX","20200227","20:23:02","20200227","20:23:31","0000000010","0000000039","0000000045","DEPUTY","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001424187","OKLAHOMA CITY","043","KOCB","034","CW","20200225","09:21:32","20200225","09:22:01","0000000010","0000000039","0000000045","JUDGE JERRY","PCMO942130H","2/1/20","PC","Platt Bakery","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOCB","034","CW","20200225","09:52:20","20200225","09:53:19","0000000010","0000000069","0000000075","JUDGE JERRY","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001413822","OKLAHOMA CITY","043","KOCB","034","CW","20200227","09:15:10","20200227","09:15:39","0000000010","0000000039","0000000045","JUDGE JERRY","PCOK940430H","12/18/19","PC","PA Skills","30","4055295812","30"
"0001411289","OKLAHOMA CITY","043","KOCB","034","CW","20200227","09:52:33","20200227","09:53:32","0000000010","0000000069","0000000075","JUDGE JERRY","PCOK937860H","12/15/19","PC","Mosaic","60","4055295812","60"
"0001411294","TULSA","058","KJRH","002","NBC","20200224","11:31:23","20200224","11:31:52","0000000010","0000000039","0000000045","TODAY WITH HODA & JENNA","PCTU937730H","12/15/19","PC","Mosaic","30","9183799182","30"
"0001411293","TULSA","058","KJRH","002","NBC","20200224","11:55:44","20200224","11:56:43","0000000010","0000000069","0000000075","TODAY WITH HODA & JENNA","PCTU937760H","12/15/19","PC","Mosaic","60","9183799182","60"
